"Name","Location","Function Signature","Function Size"
"FUN_0800fdc8","0800fdc8","undefined FUN_0800fdc8()","28"
"FUN_08010f1e","08010f1e","undefined FUN_08010f1e()","134"
"FUN_0801103c","0801103c","undefined FUN_0801103c()","24"
"FUN_08011c32","08011c32","undefined FUN_08011c32()","6"
"FUN_08011c7c","08011c7c","undefined FUN_08011c7c()","2138"
"FUN_080125dc","080125dc","undefined FUN_080125dc(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6)","466"
"FUN_080127d0","080127d0","undefined FUN_080127d0(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8)","882"
"FUN_08012b60","08012b60","undefined FUN_08012b60()","48"
"FUN_08012b98","08012b98","undefined FUN_08012b98()","988"
"FUN_08013214","08013214","undefined FUN_08013214()","62"
"FUN_08015370","08015370","undefined FUN_08015370()","4"
"FUN_08015374","08015374","undefined FUN_08015374()","16"
"FUN_08015384","08015384","undefined FUN_08015384()","66"
"FUN_080153e0","080153e0","undefined FUN_080153e0()","150"
"FUN_08015498","08015498","undefined FUN_08015498()","830"
"FUN_0801584c","0801584c","undefined FUN_0801584c()","6"
"FUN_08015858","08015858","undefined FUN_08015858()","82"
"FUN_080158c0","080158c0","undefined FUN_080158c0()","28"
"FUN_080158e4","080158e4","undefined FUN_080158e4()","46"
"FUN_08015924","08015924","undefined FUN_08015924(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","910"
"FUN_08015e30","08015e30","undefined FUN_08015e30(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","262"
"FUN_08015f40","08015f40","undefined FUN_08015f40()","18"
"FUN_08015f58","08015f58","undefined FUN_08015f58()","14"
"FUN_08015f6c","08015f6c","undefined FUN_08015f6c()","52"
"FUN_08015fa4","08015fa4","undefined FUN_08015fa4()","186"
"FUN_08016078","08016078","undefined FUN_08016078()","448"
"FUN_080163c0","080163c0","undefined FUN_080163c0()","92"
"FUN_08016438","08016438","undefined FUN_08016438(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5\, undefined4 param_6\, undefined4 param_7\, undefined4 param_8)","556"
"FUN_08016684","08016684","undefined FUN_08016684()","672"
"FUN_0801694c","0801694c","undefined FUN_0801694c()","232"
"FUN_08016a44","08016a44","undefined FUN_08016a44()","218"
"FUN_08016b30","08016b30","undefined FUN_08016b30()","36"
"FUN_080175aa","080175aa","undefined FUN_080175aa()","28"
"FUN_080175d4","080175d4","undefined FUN_080175d4()","176"
"FUN_08017690","08017690","undefined FUN_08017690()","70"
"FUN_080176e4","080176e4","undefined FUN_080176e4()","192"
"FUN_080177b8","080177b8","undefined FUN_080177b8()","262"
"FUN_080178d0","080178d0","undefined FUN_080178d0()","138"
"FUN_08017964","08017964","undefined FUN_08017964()","98"
"FUN_080179d0","080179d0","undefined FUN_080179d0()","142"
"FUN_08017a80","08017a80","undefined FUN_08017a80()","220"
"FUN_08017b74","08017b74","undefined FUN_08017b74()","200"
"FUN_08017c5c","08017c5c","undefined FUN_08017c5c()","16"
"FUN_08017c74","08017c74","undefined FUN_08017c74()","46"
"FUN_08017cb0","08017cb0","undefined FUN_08017cb0()","30"
